순번,국토부 코드,정산 코드,정류장 코드,정류장명,행정구역코드,시도명,시군구명,읍면동명,유개승강장,버스안내단말기 설치유무,와이좌표,엑스좌표
1,184005309,8002633,20010,중앙로역8번출구,3014010100,대전광역시,중구,은행동,O,O,36.329791,127.424634
2,183002193,8001995,12000,성남네거리,3011011400,대전광역시,동구,가양동,O,O,36.341222,127.437233
3,183002072,8001344,11200,새들뫼아파트,3011011000,대전광역시,동구,대동,O,O,36.328085,127.443068
4,183002143,8005855,12200,현암초등학교,3011011800,대전광역시,동구,삼성동,O,O,36.342396,127.420014
5,183002237,8005864,13200,안아감마을,3011012900,대전광역시,동구,신상동,O,X,36.353203,127.515947
6,183002392,8005869,14200,천동휴먼시아,3011010400,대전광역시,동구,천동,O,O,36.3136,127.445612
7,184005209,8001404,20200,대전세무서,3014010200,대전광역시,중구,선화동,O,O,36.330767,127.419547
8,184005101,8001538,22000,동산중고등학교,3014011600,대전광역시,중구,문화동,O,O,36.314427,127.404924
9,184005284,8001931,21200,서대전네거리역5번출구,3014011200,대전광역시,중구,용두동,O,O,36.32414,127.410803
10,184005310,8002630,20030,중앙로역9번출구,3014010100,대전광역시,중구,은행동,O,O,36.329052,127.426544
11,185003212,8002967,32000,향촌아파트,3017011200,대전광역시,서구,둔산동,O,O,36.355083,127.374437
12,185003310,8001260,30200,내동중학교,3017010200,대전광역시,서구,변동,O,O,36.331727,127.371004
13,185003483,8001571,31200,둔산전자타운,3017010600,대전광역시,서구,탄방동,O,O,36.339839,127.394954
14,185003232,8002554,32200,정부대전청사남문,3017011200,대전광역시,서구,둔산동,O,O,36.359635,127.380346
15,185003022,8001009,33200,가수원네거리,3017011400,대전광역시,서구,가수원동,O,O,36.305706,127.356252
16,185003445,8002521,34200,장태산길곡길입구,3017012000,대전광역시,서구,장안동,O,X,36.221968,127.342475
17,186004544,8002596,42000,죽동네거리,3020011700,대전광역시,유성구,장대동,O,O,36.366498,127.33165
18,184005311,8002627,20040,중앙로역1번출구,3014010100,대전광역시,중구,은행동,X,O,36.328836,127.426724
19,186004649,8002681,40200,진잠타운아파트,3020010100,대전광역시,유성구,원내동,O,X,36.295725,127.3213
20,186004268,8001311,43200,대덕고등학교,3020012700,대전광역시,유성구,도룡동,O,O,36.386526,127.378802
21,186004783,8002533,44200,태광산업중앙연구소,3020014100,대전광역시,유성구,전민동,O,X,36.403589,127.404987
22,186004066,8001149,45200,구룡2통,3020015300,대전광역시,유성구,구룡동,O,X,36.447085,127.365447
23,186001451,8007165,46200,해랑숲마을6단지,3020012000,대전광역시,유성구,지족동,O,O,36.386379,127.308392
24,187001377,8002666,52000,직업능력개발원,3023011400,대전광역시,대덕구,신일동,O,X,36.439363,127.410858
25,187001229,8002250,50200,오정육교,3023010100,대전광역시,대덕구,오정동,X,X,36.357988,127.416593
26,187001073,8001745,51200,보람아파트,3023010800,대전광역시,대덕구,법동,O,O,36.370492,127.431318
27,187001111,8001975,52200,선바위,3023011600,대전광역시,대덕구,상서동,O,O,36.424081,127.419551
28,187001048,8007009,53200,금강로하스대청공원,3023012500,대전광역시,대덕구,미호동,O,X,36.471976,127.475224
29,185003541,8007265,35200,암뱀골,3017012700,대전광역시,서구,괴곡동,X,X,36.27578,127.364617
30,184005195,8002983,20080,호수돈여고,3014010200,대전광역시,중구,선화동,O,O,36.327418,127.41485
31,186004535,8005784,82000,탄동농협,3020012500,대전광역시,유성구,신성동,X,X,36.390783,127.349768
32,186004514,8005671,82200,자운상가,3020013500,대전광역시,유성구,신봉동,X,X,36.413762,127.337338
33,184005196,8002642,20090,중촌네거리,3014010200,대전광역시,중구,선화동,O,O,36.335856,127.415266
34,183002329,8002471,13560,이사동상사,3011013800,대전광역시,동구,이사동,X,X,36.281804,127.443147
35,183002131,8002858,14330,하소룡골,3011014300,대전광역시,동구,삼괴동,O,X,36.242983,127.461059
36,184005001,8003065,23570,구완2교,3014012100,대전광역시,중구,구완동,X,X,36.27757,127.421525
37,183002333,8003085,14300,이사동하사,3011013800,대전광역시,동구,이사동,X,X,36.286422,127.448332
38,183002334,8003086,14310,이사동하사,3011013800,대전광역시,동구,이사동,O,X,36.286328,127.448337
39,186004762,8003087,45840,대덕특구체육공원,3020014100,대전광역시,유성구,전민동,O,X,36.403209,127.397587
40,186004763,8003088,45850,대덕특구체육공원,3020014100,대전광역시,유성구,전민동,O,X,36.402363,127.397611
41,184005078,8005625,23540,무수동입구,3014012000,대전광역시,중구,무수동,X,X,36.277147,127.402259
42,184005079,8005626,23530,무수동입구,3014012000,대전광역시,중구,무수동,O,X,36.277078,127.402277
43,184005081,8005627,23560,무수동,3014012000,대전광역시,중구,무수동,O,X,36.276925,127.406987
44,184005080,8005628,23550,무수동,3014012000,대전광역시,중구,무수동,X,X,36.276952,127.406855
45,187001053,8005631,53210,대청댐(종점),3023012500,대전광역시,대덕구,미호동,O,X,36.475305,127.480418
46,183002321,8001421,10010,대전역/중앙시장,3011010100,대전광역시,동구,원동,O,O,36.329547,127.433307
47,183002322,8001514,10020,원동네거리,3011010100,대전광역시,동구,원동,O,O,36.326289,127.433519
48,183002323,8002635,10030,중앙시장,3011010100,대전광역시,동구,원동,O,O,36.329105,127.4336
49,183002325,8001412,10040,대전역/역전시장,3011010100,대전광역시,동구,원동,O,O,36.329527,127.43368
50,183002326,8002634,10050,중앙시장,3011010100,대전광역시,동구,원동,O,O,36.32856,127.433933
51,183002327,8002358,10060,중앙시장,3011010100,대전광역시,동구,원동,O,O,36.328296,127.434413
52,183002328,8002357,10070,원동네거리,3011010100,대전광역시,동구,원동,O,O,36.327573,127.434851
53,183002335,8002356,10080,원동네거리,3011010200,대전광역시,동구,인동,O,O,36.32597,127.435358
54,183002336,8002482,10090,신인동주민센터,3011010200,대전광역시,동구,인동,O,O,36.323514,127.437065
55,183002337,8002481,10100,인동네거리,3011010200,대전광역시,동구,인동,O,O,36.322667,127.43716
56,183002338,8002483,10110,인동현대아파트,3011010200,대전광역시,동구,인동,O,O,36.319745,127.438528
57,183002339,8002480,10120,인동네거리,3011010200,대전광역시,동구,인동,O,O,36.32178,127.438679
58,183002340,8002484,10130,인동현대아파트,3011010200,대전광역시,동구,인동,O,O,36.319549,127.438939
59,183002341,8002149,10140,동부경찰서,3011010200,대전광역시,동구,인동,O,O,36.322467,127.440536
60,183002342,8002148,10150,동부경찰서,3011010200,대전광역시,동구,인동,O,O,36.322219,127.440696
61,183002459,8003016,10160,효동네거리,3011010300,대전광역시,동구,효동,O,X,36.31648,127.440084
62,183002458,8003014,10170,효동네거리,3011010300,대전광역시,동구,효동,X,O,36.316164,127.439902
63,183002460,8003018,10190,효동행정복지센터,3011010300,대전광역시,동구,효동,X,O,36.316087,127.440815
64,183002461,8003017,10200,효동행정복지센터,3011010300,대전광역시,동구,효동,X,O,36.316112,127.441083
65,183002462,8002691,10210,효동현대아파트,3011010300,대전광역시,동구,효동,O,O,36.317798,127.441848
66,183002463,8002692,10220,효동현대아파트,3011010300,대전광역시,동구,효동,O,O,36.318285,127.44251
67,183002385,8001397,10230,천석교,3011010400,대전광역시,동구,천동,X,O,36.312792,127.441512
68,183002386,8001396,10240,천석교,3011010400,대전광역시,동구,천동,X,X,36.312378,127.441699
69,183002389,8002688,10250,천동,3011010400,대전광역시,동구,천동,X,X,36.311776,127.444784
70,183002390,8002687,10260,천동,3011010400,대전광역시,동구,천동,O,O,36.311913,127.44532
71,183002393,8002690,10270,천동주공아파트,3011010400,대전광역시,동구,천동,O,O,36.310314,127.448698
72,183002394,8002689,10280,천동주공아파트,3011010400,대전광역시,동구,천동,O,O,36.310763,127.448614
73,183002026,8001045,10290,가오동,3011010500,대전광역시,동구,가오동,X,X,36.308155,127.449806
74,183002027,8001044,10300,가오동,3011010500,대전광역시,동구,가오동,O,O,36.308857,127.450065
75,183002028,8001043,10310,가오동,3011010500,대전광역시,동구,가오동,O,O,36.308,127.450773
76,183002030,8001048,10320,가오주공아파트,3011010500,대전광역시,동구,가오동,O,O,36.30562,127.452574
77,183002031,8001047,10330,가오주공아파트,3011010500,대전광역시,동구,가오동,O,O,36.305336,127.452684
78,183002034,8001740,10340,남대전변전소,3011010500,대전광역시,동구,가오동,O,O,36.303859,127.454365
79,183002033,8001046,10350,남대전변전소,3011010500,대전광역시,동구,가오동,O,X,36.303742,127.454311
80,183002035,8002440,10360,가오동네거리,3011010500,대전광역시,동구,가오동,O,O,36.305562,127.454642
81,183002036,8002441,10370,가오동네거리,3011010500,대전광역시,동구,가오동,X,O,36.305422,127.454809
82,183002039,8001041,10380,동구청,3011010500,대전광역시,동구,가오동,O,O,36.311526,127.455516
83,183002038,8001042,10390,동구청,3011010500,대전광역시,동구,가오동,O,O,36.310338,127.455453
84,183002040,8002833,10400,은어송초등학교,3011010500,대전광역시,동구,가오동,O,O,36.301667,127.456373
85,183002094,8002832,10410,은어송초등학교,3011013900,대전광역시,동구,대성동,O,O,36.301515,127.456734
86,183002041,8002449,10420,은어송마을6단지,3011010500,대전광역시,동구,가오동,O,O,36.310215,127.456644
87,183002042,8002442,10430,은어송마을1단지,3011010500,대전광역시,동구,가오동,X,X,36.303545,127.457217
88,183002043,8002450,10440,은어송마을6단지,3011010500,대전광역시,동구,가오동,X,O,36.310801,127.457234
89,183002095,8005580,10450,은어송마을2단지,3011013900,대전광역시,동구,대성동,O,O,36.303528,127.457384
90,183002099,8005611,10460,은어송마을2단지,3011013900,대전광역시,동구,대성동,O,O,36.302539,127.459435
91,183002047,8002445,10470,은어송마을3단지후문,3011010500,대전광역시,동구,가오동,O,O,36.311902,127.459043
92,183002100,8002443,10480,남부여성가족원,3011013900,대전광역시,동구,대성동,O,O,36.302392,127.45966
93,183002046,8002447,10490,은어송마을5단지,3011010500,대전광역시,동구,가오동,O,O,36.308433,127.45882
94,183002048,8002448,10500,은어송마을5단지,3011010500,대전광역시,동구,가오동,O,O,36.308627,127.459352
95,183002050,8002444,10510,은어송마을3단지,3011010500,대전광역시,동구,가오동,O,O,36.310369,127.461435
96,183002049,8002446,10520,은어송마을4단지,3011010500,대전광역시,동구,가오동,O,O,36.310076,127.461341
97,183002255,8002572,10550,어진마을아파트,3011010600,대전광역시,동구,신흥동,O,O,36.320877,127.44382
98,183002257,8002570,10560,신흥마을아파트정문,3011010600,대전광역시,동구,신흥동,O,O,36.32078,127.444053
99,183002258,8002150,10570,신흥동시외버스정류소,3011010600,대전광역시,동구,신흥동,O,O,36.322493,127.444797
100,183002260,8002151,10580,신흥동시외버스정류소,3011010600,대전광역시,동구,신흥동,O,O,36.322443,127.445147
101,183002078,8002727,10590,충남중학교,3011011000,대전광역시,동구,대동,O,O,36.324642,127.445475
102,183002261,8002573,10600,신흥마을아파트,3011010600,대전광역시,동구,신흥동,O,O,36.321131,127.44586
103,183002259,8002571,10610,신흥마을아파트후문,3011010600,대전광역시,동구,신흥동,O,O,36.321258,127.445149
104,183002416,8002153,10630,신흥역,3011010700,대전광역시,동구,판암동,O,O,36.31937,127.449139
105,183002417,8002154,10640,신흥역,3011010700,대전광역시,동구,판암동,O,O,36.31929,127.449826
106,183002418,8002817,10650,판암근린공원,3011010700,대전광역시,동구,판암동,O,O,36.317992,127.452082
107,183002419,8002818,10660,판암근린공원,3011010700,대전광역시,동구,판암동,O,O,36.318114,127.452342
108,183002420,8001670,10670,미리내아파트,3011010700,대전광역시,동구,판암동,O,O,36.316878,127.455621
109,183002421,8002822,10680,판암역네거리,3011010700,대전광역시,동구,판암동,O,O,36.317105,127.455798
110,183002422,8002816,10690,판암역네거리,3011010700,대전광역시,동구,판암동,O,O,36.317325,127.456521
111,183002423,8002819,10700,판암2동주민센터,3011010700,대전광역시,동구,판암동,O,O,36.319799,127.457046
112,183002424,8002825,10720,판암주공4단지,3011010700,대전광역시,동구,판암동,O,O,36.321194,127.458736
113,183002425,8002451,10730,은어송마을3단지후문,3011010700,대전광역시,동구,판암동,O,O,36.31227,127.459261
114,183002428,8002823,10740,판암역,3011010700,대전광역시,동구,판암동,O,O,36.316974,127.459628
115,183002427,8002826,10750,판암주공5단지,3011010700,대전광역시,동구,판암동,O,O,36.322238,127.459748
116,183002426,8002824,10760,판암역,3011010700,대전광역시,동구,판암동,O,O,36.317269,127.459661
117,183002429,8002625,10770,판암테크노타운,3011010700,대전광역시,동구,판암동,O,O,36.322153,127.461491
118,183002430,8002829,10780,판암네거리,3011010700,대전광역시,동구,판암동,O,O,36.318247,127.461681
119,183002432,8002820,10790,판암동성당,3011010700,대전광역시,동구,판암동,O,O,36.319997,127.461813
120,183002431,8002828,10800,판암네거리,3011010700,대전광역시,동구,판암동,O,O,36.318077,127.461813
121,183002433,8002821,10810,판암동성당,3011010700,대전광역시,동구,판암동,O,O,36.319908,127.462272
122,183002434,8002830,10830,판암IC,3011010700,대전광역시,동구,판암동,O,X,36.318831,127.468473
123,183002164,8001391,10840,판암차량기지,3011010800,대전광역시,동구,삼정동,O,O,36.321331,127.471563
124,183002163,8001390,10850,판암차량기지,3011010800,대전광역시,동구,삼정동,O,X,36.320359,127.471393
125,183002165,8001879,10860,삼정동,3011010800,대전광역시,동구,삼정동,O,O,36.325795,127.472926
126,183002166,8001880,10870,삼정동,3011010800,대전광역시,동구,삼정동,O,X,36.325918,127.473419
127,183002268,8002295,10880,한밭여중입구,3011010900,대전광역시,동구,용운동,X,X,36.327367,127.447607
128,183002270,8002286,10890,용방마을아파트,3011010900,대전광역시,동구,용운동,O,O,36.326891,127.450693
129,183002269,8002289,10900,용방마을아파트,3011010900,대전광역시,동구,용운동,O,O,36.327393,127.450373
130,183002272,8002341,10910,우송대동캠퍼스,3011010900,대전광역시,동구,용운동,O,O,36.333098,127.453414
131,183002273,8002307,10920,용운고층아파트,3011010900,대전광역시,동구,용운동,O,O,36.328332,127.453548
132,183002275,8002342,14680,용수골,3011010900,대전광역시,동구,용운동,X,X,36.333833,127.45563
133,183002274,8002287,10940,용운종합사회복지관,3011010900,대전광역시,동구,용운동,O,O,36.327587,127.453792
134,183002277,8002305,10950,용운마젤란아파트,3011010900,대전광역시,동구,용운동,O,O,36.337708,127.457297
135,183002280,8001381,10960,대전대학교입구,3011010900,대전광역시,동구,용운동,X,O,36.328179,127.458132
136,183002276,8001234,10970,꿈에그린아파트,3011010900,대전광역시,동구,용운동,X,O,36.333104,127.457172
137,183002279,8002304,10980,용운마젤란아파트,3011010900,대전광역시,동구,용운동,O,O,36.338185,127.457628
138,183002278,8001236,10990,꿈에그린아파트,3011010900,대전광역시,동구,용운동,O,O,36.333053,127.457302
139,183002281,8001383,11000,대전대학교입구,3011010900,대전광역시,동구,용운동,X,X,36.328745,127.459315
140,183002282,8001382,11010,대전대학교입구,3011010900,대전광역시,동구,용운동,X,O,36.328039,127.459497
141,183002283,8002296,11020,용운동주민센터,3011010900,대전광역시,동구,용운동,O,O,36.327987,127.460768
142,183002284,8001379,11030,대전대학교,3011010900,대전광역시,동구,용운동,X,X,36.330701,127.460596
143,183002285,8002299,11040,용운초등학교,3011010900,대전광역시,동구,용운동,X,O,36.326873,127.461598
144,183002286,8002301,11050,용운동주민센터,3011010900,대전광역시,동구,용운동,X,X,36.328332,127.461787
145,183002287,8001617,11060,용운도서관,3011010900,대전광역시,동구,용운동,O,X,36.324984,127.46193
146,183002288,8001618,11070,용운도서관,3011010900,대전광역시,동구,용운동,X,O,36.324677,127.462199
147,183002289,8001619,11080,모리아파트,3011010900,대전광역시,동구,용운동,X,X,36.323087,127.462342
148,183002290,8002308,11090,에코포레아파트,3011010900,대전광역시,동구,용운동,X,X,36.330398,127.463133
149,183002293,8001384,11100,대전대학교,3011010900,대전광역시,동구,용운동,O,X,36.332681,127.463754
150,183002298,8002298,11110,용운국제수영장,3011010900,대전광역시,동구,용운동,O,O,36.324576,127.465158
151,183002299,8002297,11120,용운국제수영장,3011010900,대전광역시,동구,용운동,O,O,36.324546,127.465349
152,183002300,8001907,11130,새울,3011010900,대전광역시,동구,용운동,O,X,36.330775,127.465783
153,183002302,8001760,11140,에코포레아파트,3011010900,대전광역시,동구,용운동,O,O,36.328132,127.466372
154,183002301,8001908,11150,새울,3011010900,대전광역시,동구,용운동,O,X,36.330875,127.466073
155,183002303,8001761,11160,복음아파트,3011010900,대전광역시,동구,용운동,O,O,36.328499,127.46663
156,183002070,8005881,11170,대동역2번출구,3011011000,대전광역시,동구,대동,O,O,36.328765,127.441443
157,183002071,8001348,11180,대동역3번출구,3011011000,대전광역시,동구,대동,O,O,36.329062,127.441729
158,183002073,8001349,11210,대동역7번출구,3011011000,대전광역시,동구,대동,O,O,36.330284,127.443728
159,183002076,8001351,11220,펜타뷰아파트,3011011000,대전광역시,동구,대동,X,O,36.328775,127.444222
160,183002075,8001345,11230,충남중네거리,3011011000,대전광역시,동구,대동,O,O,36.327457,127.444205
161,183002077,8002344,11240,우송고등학교,3011011000,대전광역시,동구,대동,X,O,36.333043,127.445395
162,183002079,8002728,11250,충남중학교,3011011000,대전광역시,동구,대동,O,O,36.3247,127.445833
163,183002080,8002290,11260,대동초등학교,3011011000,대전광역시,동구,대동,O,O,36.325995,127.44726
164,183002081,8001352,11270,대동초등학교,3011011000,대전광역시,동구,대동,O,O,36.326203,127.447382
165,183002074,8002488,11280,자양초등학교,3011011000,대전광역시,동구,대동,X,O,36.331281,127.443906
166,183002343,8002345,11290,우송고등학교,3011011100,대전광역시,동구,자양동,O,O,36.334449,127.445848
167,183002344,8002340,11300,우송대삼거리,3011011100,대전광역시,동구,자양동,O,O,36.336017,127.447189
168,183002345,8002339,11310,우송대학교서캠퍼스,3011011100,대전광역시,동구,자양동,O,O,36.337549,127.447734
169,183002346,8002485,11320,자양동,3011011100,대전광역시,동구,자양동,X,O,36.340581,127.448623
170,183002347,8001445,11330,대주파크빌,3011011100,대전광역시,동구,자양동,X,O,36.342396,127.448793
171,183002348,8002343,11340,우송어학센터,3011011100,대전광역시,동구,자양동,O,O,36.339976,127.448995
172,183002349,8002486,11350,자양동주민센터,3011011100,대전광역시,동구,자양동,X,O,36.335639,127.449286
173,183002350,8002487,11360,자양동주민센터,3011011100,대전광역시,동구,자양동,X,O,36.335342,127.449511
174,183002351,8001548,11370,동아마이스터고,3011011100,대전광역시,동구,자양동,O,O,36.344177,127.451877
175,183002238,8002155,11380,이스트시티아파트,3011011200,대전광역시,동구,신안동,O,O,36.328053,127.439351
176,183002239,8002156,11390,대전화병원,3011011200,대전광역시,동구,신안동,O,O,36.328275,127.43936
177,183002240,8002114,11400,신안동,3011011200,대전광역시,동구,신안동,O,X,36.331712,127.44029
178,183002210,8005504,11410,대전역동광장,3011011300,대전광역시,동구,소제동,O,X,36.33353,127.437338
179,183002214,8005621,11420,대전역동광장종점,3011011300,대전광역시,동구,소제동,O,X,36.332221,127.43781
